"Libellé";"idBank";"Période";"2001-T4";"2002-T1";"2002-T2";"2002-T3";"2002-T4";"2003-T1";"2003-T2";"2003-T3";"2003-T4";"2004-T1";"2004-T2";"2004-T3";"2004-T4";"2005-T1";"2005-T2";"2005-T3";"2005-T4";"2006-T1";"2006-T2";"2006-T3";"2006-T4";"2007-T1";"2007-T2";"2007-T3";"2007-T4";"2008-T1";"2008-T2";"2008-T3";"2008-T4";"2009-T1";"2009-T2";"2009-T3";"2009-T4";"2010-T1";"2010-T2";"2010-T3";"2010-T4";"2011-T1";"2011-T2";"2011-T3";"2011-T4";"2012-T1";"2012-T2";"2012-T3";"2012-T4";"2013-T1";"2013-T2";"2013-T3";"2013-T4";"2014-T1";"2014-T2";"2014-T3";"2014-T4";"2015-T1";"2015-T2";"2015-T3";"2015-T4";"2016-T1";"2016-T2";"2016-T3";"2016-T4";"2017-T1";"2017-T2";"2017-T3";"2017-T4";"2018-T1";"2018-T2";"2018-T3";"2018-T4";"2019-T1";"2019-T2"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Aude - Série arrêtée";"001737771";"";"5859";"5817";"5887";"6107";"6024";"6246";"6233";"6233";"6282";"6363";"6418";"6437";"6486";"6556";"6683";"6749";"6807";"6959";"7028";"7147";"7331";"7390";"7474";"7636";"7684";"7927";"7898";"7828";"7647";"7470";"7442";"7393";"7321";"7258";"7157";"7234";"7263";"7153";"7175";"7056";"6996";"6943";"6893";"6710";"6534";"6567";"6468";"6446";"6335";"6223";"6150";"6133";"6086";"6045";"5935";"5888";"5894";"5871";"5824";"5715";"5662";"5659";"5692";"5701";"5786";"5837";"5765";"5768";"5803";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Aveyron - Série arrêtée";"001737772";"";"6125";"6084";"6041";"6099";"6197";"6280";"6239";"6318";"6303";"6340";"6432";"6375";"6320";"6294";"6378";"6407";"6483";"6578";"6604";"6711";"6810";"6915";"6850";"6946";"7011";"7067";"7089";"7116";"7083";"6961";"6975";"6966";"6932";"6886";"6903";"6868";"6809";"6813";"6716";"6670";"6685";"6627";"6630";"6567";"6510";"6483";"6396";"6420";"6364";"6357";"6284";"6194";"6160";"6141";"6129";"6077";"6072";"6017";"6047";"6095";"6116";"6140";"6148";"6111";"6157";"6199";"6186";"6213";"6250";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Bouches-du-Rhône - Série arrêtée";"001737773";"";"36394";"36058";"36146";"36420";"36397";"36194";"36098";"36751";"36869";"37740";"38296";"38540";"38922";"39288";"39689";"40179";"40676";"41609";"42145";"42521";"42990";"43386";"43697";"44055";"44432";"44352";"44894";"45403";"44720";"44527";"44105";"43869";"43569";"43402";"43113";"42892";"42752";"42525";"43050";"42613";"42912";"42947";"42488";"42276";"42592";"41953";"42009";"41996";"41753";"41530";"41253";"41052";"40542";"40476";"40294";"40082";"40120";"40317";"40346";"40344";"40469";"40881";"40953";"41040";"41275";"41348";"41366";"41835";"42193";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Calvados - Série arrêtée";"001737774";"";"13725";"13927";"13949";"14111";"14135";"14183";"14251";"14207";"14356";"14396";"14593";"14593";"14722";"14891";"14939";"15131";"15249";"15319";"15491";"15752";"15856";"16138";"16284";"16464";"16642";"16681";"16829";"16883";"16877";"16894";"16853";"16698";"16611";"16472";"16298";"16090";"16096";"15998";"15780";"15824";"15836";"15836";"15844";"15847";"15668";"15458";"15326";"15193";"15106";"15095";"14936";"14698";"14370";"14214";"14057";"13945";"13879";"13781";"13736";"13648";"13602";"13658";"13728";"13675";"13814";"13762";"13778";"13805";"13898";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Cantal - Série arrêtée";"001737775";"";"3961";"3912";"3887";"3852";"3882";"3938";"3918";"3852";"3868";"3865";"3905";"3989";"3999";"4008";"3993";"3968";"3960";"3971";"4004";"4056";"4081";"4139";"4157";"4212";"4255";"4249";"4290";"4271";"4263";"4237";"4235";"4250";"4167";"4249";"4184";"4157";"4149";"4117";"4082";"4042";"4008";"3962";"3933";"3868";"3910";"3900";"3899";"3945";"3877";"3870";"3869";"3861";"3845";"3828";"3742";"3705";"3637";"3599";"3579";"3518";"3590";"3635";"3656";"3654";"3643";"3597";"3568";"3660";"3680";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Charente - Série arrêtée";"001737776";"";"6936";"7008";"6974";"6976";"6987";"7034";"7092";"7120";"7168";"7206";"7279";"7268";"7323";"7412";"7481";"7565";"7623";"7662";"7727";"7782";"7819";"7866";"7920";"7973";"8031";"7992";"7888";"7966";"7963";"7911";"7828";"7715";"7622";"7617";"7551";"7511";"7372";"7298";"7321";"7310";"7319";"7296";"7378";"7503";"7684";"7745";"7586";"7535";"7436";"7588";"7420";"7338";"7238";"7192";"7136";"7070";"7040";"6941";"6907";"6840";"6775";"6720";"6677";"6611";"6702";"6728";"6783";"6758";"6743";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Charente-Maritime - Série arrêtée";"001737777";"";"12642";"12612";"12638";"12766";"12787";"12789";"12820";"12845";"12960";"13093";"13185";"13227";"13258";"13540";"13653";"13767";"14013";"14230";"14505";"14657";"14774";"15092";"15178";"15386";"15533";"15958";"15632";"15702";"15541";"15152";"14850";"14790";"14527";"14333";"14324";"14142";"14101";"14215";"14230";"14129";"14021";"13875";"13712";"13675";"13602";"13422";"13285";"13110";"13030";"12968";"12853";"12649";"12417";"12314";"12213";"12188";"12141";"11963";"11984";"11883";"11919";"11889";"11866";"11874";"11942";"12020";"12098";"12142";"12277";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Cher - Série arrêtée";"001737778";"";"5999";"6031";"6030";"5960";"5957";"5989";"5992";"5999";"6017";"6016";"6073";"6118";"6238";"6233";"6220";"6265";"6288";"6365";"6307";"6311";"6355";"6417";"6551";"6653";"6703";"6715";"6739";"6709";"6616";"6650";"6654";"6619";"6794";"6601";"6637";"6624";"6557";"6515";"6415";"6409";"6425";"6358";"6253";"6216";"6091";"5980";"5962";"5794";"5719";"5680";"5612";"5486";"5391";"5297";"5188";"5157";"5111";"5050";"5041";"5033";"5021";"4962";"4967";"4829";"4836";"4800";"4792";"4775";"4746";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Corrèze - Série arrêtée";"001737779";"";"5324";"5396";"5361";"5373";"5313";"5340";"5365";"5376";"5400";"5384";"5381";"5418";"5472";"5499";"5594";"5595";"5676";"5738";"5838";"5842";"5934";"5988";"6026";"6115";"6116";"6155";"6148";"6120";"6047";"6022";"5933";"5879";"5874";"5854";"5861";"5828";"5793";"5720";"5735";"5709";"5651";"5578";"5516";"5479";"5452";"5505";"5427";"5451";"5392";"5321";"5208";"5100";"5079";"5026";"4987";"4954";"4940";"4896";"4906";"4892";"4840";"4866";"4863";"4827";"4787";"4841";"4790";"4803";"4830";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Côte-d'Or - Série arrêtée";"001737780";"";"11784";"11787";"11720";"11696";"11683";"11712";"11771";"11799";"11889";"11938";"11945";"11981";"12125";"12236";"12334";"12346";"12258";"12333";"12463";"12524";"12762";"12792";"12969";"13221";"13457";"13600";"13623";"13893";"13797";"13778";"13666";"13633";"13526";"13496";"13341";"13196";"13170";"13076";"13048";"13044";"12997";"12937";"12880";"12776";"12729";"12339";"12397";"12338";"12219";"12092";"12033";"11920";"11867";"11822";"11622";"11398";"11234";"11147";"11102";"11116";"11140";"11236";"11285";"11258";"11320";"11327";"11350";"11361";"11363";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Côtes-d'Armor - Série arrêtée";"001737781";"";"12475";"12556";"12711";"12634";"12552";"12485";"12490";"12585";"12734";"12896";"12889";"12968";"13052";"13171";"13357";"13511";"13643";"13856";"14108";"14219";"14514";"14610";"14743";"14928";"15093";"15069";"15061";"15151";"14891";"14770";"14493";"14287";"14236";"14192";"14101";"13990";"13820";"13837";"13856";"13775";"13750";"13668";"13595";"13366";"13414";"13128";"12945";"12888";"12799";"12703";"12571";"12402";"12281";"12145";"12161";"12111";"12101";"12068";"12056";"12039";"11928";"12108";"12197";"12168";"12314";"12400";"12432";"12507";"12552";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Creuse - Série arrêtée";"001737782";"";"2002";"1998";"2031";"2001";"1989";"1989";"2007";"2018";"2075";"2068";"2064";"2077";"2096";"2131";"2130";"2142";"2149";"2154";"2179";"2199";"2200";"2219";"2225";"2224";"2275";"2265";"2266";"2249";"2247";"2243";"2229";"2191";"2165";"2155";"2144";"2128";"2102";"2086";"2053";"2051";"2021";"1996";"1988";"1993";"1977";"1957";"1955";"1913";"1896";"1863";"1865";"1847";"1806";"1763";"1729";"1718";"1710";"1705";"1688";"1668";"1668";"1686";"1655";"1634";"1638";"1627";"1625";"1612";"1595";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Dordogne - Série arrêtée";"001737783";"";"9078";"9117";"9019";"9141";"9185";"9179";"9205";"9217";"9263";"9333";"9350";"9420";"9466";"9534";"9624";"9640";"9674";"9731";"9901";"9975";"10077";"10182";"10206";"10300";"10320";"10455";"10308";"10571";"10339";"10115";"10020";"9957";"9894";"9732";"9721";"9687";"9623";"9672";"9647";"9552";"9480";"9425";"9316";"9254";"9210";"9178";"9078";"9066";"9054";"8992";"8964";"8861";"8752";"8664";"8604";"8473";"8418";"8345";"8296";"8293";"8184";"8173";"8220";"8178";"8160";"8199";"8183";"8215";"8291";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Doubs - Série arrêtée";"001737784";"";"9914";"10018";"9850";"9976";"9943";"9969";"10066";"10154";"10208";"10305";"10305";"10307";"10454";"10437";"10540";"10587";"10649";"10790";"10950";"11113";"11255";"11281";"11319";"11429";"11547";"11683";"11557";"11561";"11460";"11353";"11296";"11163";"11009";"10988";"10980";"10916";"10920";"10875";"10726";"10792";"10747";"10646";"10631";"10584";"10540";"10632";"10603";"10566";"10434";"10341";"10197";"10062";"9955";"9795";"9675";"9571";"9579";"9493";"9549";"9578";"9462";"9479";"9503";"9481";"9501";"9491";"9483";"9451";"9449";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Drôme - Série arrêtée";"001737785";"";"11219";"11257";"11270";"11265";"11268";"11132";"11134";"11172";"11211";"11374";"11348";"11492";"11388";"11535";"11705";"11743";"11909";"12029";"12153";"12410";"12604";"12713";"12887";"12855";"12936";"12926";"12921";"12937";"12882";"12836";"12771";"12892";"12757";"12669";"12669";"12652";"12749";"12792";"12727";"12732";"12699";"12858";"12842";"12862";"12791";"12711";"12627";"12577";"12686";"12476";"12407";"12276";"12029";"11847";"11778";"11616";"11690";"11704";"11571";"11647";"11534";"11664";"11756";"11678";"11702";"11813";"11793";"11994";"12072";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Eure - Série arrêtée";"001737786";"";"10570";"10557";"10547";"10579";"10623";"10562";"10654";"10810";"10894";"11082";"11058";"10902";"11067";"11159";"11246";"11389";"11444";"11514";"11658";"11683";"11912";"12119";"12232";"12405";"12604";"12323";"12697";"12835";"12725";"12642";"12629";"12434";"12443";"12407";"12280";"12321";"12316";"12461";"12415";"12331";"12298";"11932";"11919";"11886";"11747";"11561";"11502";"11388";"11272";"11200";"11043";"10906";"10860";"10677";"10480";"10350";"10259";"10198";"10198";"9977";"9784";"9728";"9780";"9601";"9940";"9944";"10016";"10029";"10103";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Eure-et-Loir - Série arrêtée";"001737787";"";"8102";"7950";"8007";"8137";"8071";"8062";"8127";"8033";"8040";"8050";"8086";"8106";"8127";"8177";"8192";"8241";"8328";"8429";"8421";"8529";"8605";"8779";"8948";"9085";"9129";"9167";"9180";"9194";"9220";"9118";"8988";"8981";"8964";"8828";"8830";"8800";"8861";"8897";"8825";"8832";"8809";"8830";"8826";"8727";"8586";"8490";"8492";"8433";"8403";"8278";"8221";"8121";"8013";"7996";"7853";"7739";"7634";"7512";"7404";"7365";"7308";"7290";"7229";"7184";"7153";"7108";"7045";"7005";"6976";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Finistère - Série arrêtée";"001737788";"";"16110";"16266";"16351";"16444";"16478";"16466";"16528";"16608";"16778";"16935";"17015";"16983";"17231";"17397";"17692";"17922";"18035";"18330";"18511";"18833";"19066";"19295";"19474";"19608";"19836";"20025";"20090";"20159";"19914";"19622";"19555";"19286";"19220";"18987";"18888";"18754";"18667";"18652";"18483";"18425";"18422";"18213";"18098";"17969";"17861";"17864";"17699";"17627";"17368";"17258";"17092";"16929";"16758";"16624";"16619";"16534";"16587";"16566";"16531";"16538";"16562";"16631";"16817";"16740";"16925";"17034";"17116";"17257";"17401";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Corse-du-Sud - Série arrêtée";"001737913";"";"3556";"3613";"3672";"3774";"3754";"3867";"3943";"4101";"4183";"4317";"4469";"4519";"4580";"4594";"4630";"4732";"4868";"4965";"5014";"5116";"5220";"5297";"5300";"5395";"5390";"5512";"5669";"5717";"5724";"5711";"5717";"5690";"5673";"5690";"5661";"5718";"5765";"5777";"5832";"5837";"5846";"5892";"5911";"5855";"5923";"5869";"5861";"5869";"5803";"5860";"5793";"5682";"5634";"5539";"5446";"5413";"5332";"5262";"5261";"5242";"5199";"5232";"5250";"5251";"5306";"5412";"5395";"5468";"5539";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Haute-Corse - Série arrêtée";"001737914";"";"3863";"3825";"3835";"3931";"3896";"3927";"3967";"4045";"4060";"4155";"4254";"4270";"4304";"4338";"4358";"4444";"4560";"4641";"4628";"4735";"4804";"4853";"4916";"4984";"5085";"5163";"5264";"5240";"5341";"5384";"5478";"5515";"5526";"5562";"5481";"5520";"5568";"5588";"5630";"5640";"5633";"5713";"5707";"5693";"5658";"5566";"5534";"5543";"5469";"5377";"5337";"5227";"5168";"5136";"5073";"4984";"4896";"4888";"4868";"4884";"4918";"4944";"4918";"4830";"4939";"5026";"5105";"5170";"5206";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Gard - Série arrêtée";"001737789";"";"12212";"12194";"12002";"11949";"12054";"12221";"12393";"12607";"12740";"12936";"13115";"13254";"13352";"13501";"13691";"13835";"13996";"14094";"14229";"14380";"14543";"15182";"15213";"15326";"15498";"15498";"15553";"15462";"15258";"15031";"14892";"14461";"14602";"14507";"14424";"14432";"14561";"14535";"14442";"14356";"14255";"14224";"14169";"14115";"13896";"13705";"13529";"13328";"13231";"13052";"12896";"12712";"12541";"12681";"12465";"12562";"12538";"12509";"12508";"12483";"12501";"12462";"12498";"12441";"12471";"12556";"12516";"12460";"12498";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Haute-Garonne - Série arrêtée";"001737790";"";"25700";"26113";"26294";"26500";"26666";"27172";"26956";"27095";"27173";"27343";"27710";"28075";"28342";"28639";"29257";"29763";"30561";"31106";"31465";"31834";"32356";"32849";"33064";"33432";"33708";"34312";"34732";"33938";"34417";"33769";"33454";"33374";"33473";"33038";"33169";"33249";"33256";"33479";"33564";"33371";"33590";"33463";"33321";"33299";"32939";"32568";"32779";"32407";"32221";"32049";"31937";"31916";"31745";"31636";"31463";"31257";"31328";"31404";"31477";"31709";"31903";"32269";"32678";"33122";"33706";"33965";"34120";"34321";"34529";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Gers - Série arrêtée";"001737791";"";"3313";"3358";"3322";"3333";"3340";"3339";"3349";"3385";"3391";"3439";"3501";"3458";"3520";"3530";"3581";"3627";"3713";"3795";"3830";"3806";"3869";"3817";"3816";"3880";"3837";"3930";"3948";"3932";"3879";"3812";"3760";"3804";"3710";"3794";"3784";"3683";"3653";"3604";"3585";"3568";"3516";"3411";"3298";"3256";"3202";"3133";"3137";"3140";"3070";"3055";"2994";"2934";"2906";"2885";"2905";"2889";"2909";"2926";"2891";"2867";"2819";"2845";"2837";"2864";"2875";"2878";"2888";"2910";"2948";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
"Emploi salarié en fin de trimestre - Construction - Gironde - Série arrêtée";"001737792";"";"28973";"28620";"28288";"28578";"28853";"28970";"28994";"29132";"29225";"29591";"29772";"29631";"29878";"30056";"30551";"31038";"31579";"32228";"32832";"33527";"34024";"34426";"34515";"34993";"35214";"35532";"35815";"35798";"35593";"34968";"34965";"34704";"34777";"34812";"34668";"34455";"34396";"34269";"34155";"34318";"34385";"34768";"34700";"34763";"34712";"34419";"34461";"34409";"34326";"34357";"34158";"33935";"33672";"33410";"33324";"33284";"33577";"33773";"33912";"34150";"34351";"34676";"35201";"35650";"36128";"36668";"36611";"37001";"37354";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"";""
